road_id,ebike_count_orig,congestion_orig,co2_orig,safety_orig,passengers_orig,status,optimal_ebike_count,is_optimized,congestion_new,co2_new,safety_new,passengers_new
11304.0,30.6,10.3342906,51.69639174,0.00018926473068076784,1920.6600000000003,Optimal,21,1,10.120621717276169,51.92308154722926,0.00019084444078106298,1918.928852459017
12211.0,46.5,16.0305898,138.9152408,2.2863498004195114e-05,2918.65,Optimal,32,1,15.707860758385882,139.52070281287266,2.3053170600604682e-05,2916.0352459016394
12212.0,71.0,26.099432800000006,141.83067920000002,4.396745637876754e-05,4456.433333333334,Optimal,49,1,25.60977494375788,142.44494518896343,4.432989147088254e-05,4452.46612021858
13404.0,58.0,20.872688400000005,213.19593213333334,2.2976813923409988e-05,3640.466666666667,Optimal,40,1,20.47205924489282,214.12072693612777,2.31665159578646e-05,3637.220765027323
14108.0,41.1,14.998187599999998,29.67875799,0.0010319010232720171,2579.71,Optimal,28,1,14.706618603783102,29.810977989497854,0.0010406519243337455,2577.347704918033
15101.0,69.7,25.142020000000002,369.25174615000003,7.2924000098721655e-06,4374.836666666667,Optimal,48,1,24.659039296342996,370.8585818362711,7.352800617918748e-06,4370.923551912569
16401.0,108.1,19.5756484,87.38048164799999,0.0005381353065475262,1271.9766666666667,Optimal,83,1,19.14379968205128,87.90593792757711,0.0005402622763241072,1259.2824137931034
17205.0,44.9,9.044246800000002,21.926881325000004,0.004025462914318441,984.8066666666668,Optimal,31,1,8.75360088888889,22.091505291531856,0.004077439441793102,980.7293333333334
20101.0,119.9,24.771514000000003,110.65645937500001,7.779801288392799e-05,2629.806666666667,Optimal,83,1,23.9999432,111.48236740666667,7.87966264858723e-05,2618.982666666667
20102.0,114.7,23.6650914,119.0441478,7.822998416545317e-05,2515.7533333333336,Optimal,80,1,22.939522111111113,119.91756520796446,7.921696294453556e-05,2505.574666666667
20103.0,112.2,23.076193800000006,67.81051035000002,0.00012732606501099093,2460.9200000000005,Optimal,78,1,22.361079400000005,68.31178760384,0.00012894467473293885,2450.8880000000004
20201.0,83.9,17.108879800000004,35.22042295000001,0.0004638102389110922,1840.2066666666667,Optimal,58,1,16.56731655555556,35.48410472071704,0.000469782074591415,1832.6093333333336
20202.0,101.9,20.875059,60.725649125,0.00016498318679875203,2235.0066666666667,Optimal,71,1,20.228946866666668,61.17223419262222,0.00016706959534908017,2225.942666666667
20203.0,86.3,17.403045400000003,89.56852619999998,0.00010401617086429529,1892.8466666666666,Optimal,60,1,16.85311824444445,90.23051115185778,0.00010533818732891814,1885.132
20204.0,70.2,14.134501,64.78801874999999,0.00028472706430013133,1539.7200000000003,Optimal,49,1,13.69121371111111,65.26252417740741,0.0002883128940434588,1533.5013333333334
22301.0,61.5,12.6029552,29.3199405,0.0020063809543372237,1348.9,Optimal,43,1,12.216124311111113,29.53383884954074,0.002031549178158007,1343.4733333333334
22302.0,68.4,14.013973600000003,36.86604390000001,0.001100780368801786,1500.2400000000002,Optimal,47,1,13.566504355555557,37.14576932592296,0.001115146098603017,1493.962666666667
22403.0,70.9,14.568029999999998,34.3996165,0.001193774486318525,1555.0733333333335,Optimal,49,1,14.110105866666668,34.65730747982223,0.0012091542109576995,1548.6493333333335
24303.0,147.0,30.368615400000007,120.78258675000001,3.423450265563184e-05,3224.2,Optimal,102,1,29.427675400000002,121.67928689866669,3.4671586278067815e-05,3211.0
24304.0,99.1,20.4716674,54.24885127500001,0.0003126016493018887,2173.5933333333337,Optimal,69,1,19.842283088888895,54.64845646833778,0.0003165613637881664,2164.764
24306.0,87.0,18.100433600000002,77.17289325,0.0005119066771732869,1908.2,Optimal,60,1,17.5358696,77.7537339368,0.0005185331368518059,1900.2800000000002
24401.0,86.0,17.986657800000003,64.6751605,0.0009012256030009101,1886.2666666666669,Optimal,60,1,17.44300357777778,65.14935896971852,0.000912588033725693,1878.6400000000003
24403.0,111.7,22.939210600000003,84.94502957499999,9.530417696854067e-05,2449.953333333334,Optimal,78,1,22.23455108888889,85.56656006144296,9.650325838784376e-05,2440.068
24404.0,113.9,23.630279000000005,68.47753424999999,0.0001948004002324688,2498.206666666667,Optimal,79,1,22.90052775555556,68.98639335875556,0.00019728982550582783,2487.9693333333335
24405.0,145.5,30.280182200000002,130.75313849999998,5.1932775533284676e-05,3191.3,Optimal,101,1,29.34969708888889,131.72297131804442,5.2595206989385356e-05,3178.2466666666664
25301.0,143.1,29.7067458,143.840792925,4.236957495200936e-05,3138.66,Optimal,100,1,28.80553437777778,144.89146560839404,4.2901740505111136e-05,3126.017333333333
25302.0,124.3,25.923450800000005,144.609283775,9.382656858339644e-05,2726.3133333333335,Optimal,87,1,25.143516088888887,145.6616856533748,9.500067386282614e-05,2715.372
25303.0,142.4,29.615268200000006,151.99875680000002,4.587253368386158e-05,3123.306666666667,Optimal,99,1,28.707783844444453,153.12224240517926,4.6455608148249134e-05,3110.5760000000005
25304.0,126.8,26.512215400000002,148.98892220000002,0.0001020684763432418,2781.146666666667,Optimal,88,1,25.70091602222223,150.09456333153187,0.00010337106659943931,2769.7653333333337
25306.0,154.3,31.88991660000001,104.32141992500003,3.416982043104382e-05,3384.3133333333335,Optimal,108,1,30.921793888888896,105.08058512317928,3.459738466446797e-05,3370.732
25401.0,139.5,28.688208000000007,94.903768125,4.110986931156233e-05,3059.7,Optimal,97,1,27.799542444444448,95.60497459555556,4.16322068202457e-05,3047.2333333333336
25402.0,108.3,22.5011344,67.28113132499999,0.00025852292774396283,2375.38,Optimal,75,1,21.804838800000002,67.78284599354666,0.0002618383054472832,2365.612
