road_id,ebike_count_orig,congestion_orig,co2_orig,safety_orig,passengers_orig,status,optimal_ebike_count,optimal_shared_bike_count,is_optimized,congestion_new,co2_new,safety_new,passengers_new
11304.0,30.6,10.3342906,51.59068098,0.00018926473068076784,1938.2100000000003,Optimal,21,1.4400000000000002,1,10.156182390769231,51.81360961315693,0.00019050454112059224,1938.2100000000003
12211.0,46.5,16.0305898,138.63118160000002,2.2863498004195114e-05,2945.319117647059,Optimal,32,2.175,1,15.76157219230769,139.22659795597949,2.3012360583758628e-05,2945.3191176470586
12212.0,71.0,26.099432800000006,141.5406584,4.396745637876754e-05,4497.153921568628,Optimal,49,3.3,1,25.691268153846156,142.14473265895384,4.425191189840061e-05,4497.153921568628
13404.0,58.0,20.872688400000005,212.75998093333337,2.2976813923409988e-05,3673.7313725490203,Optimal,40,2.7,1,20.538735507692312,213.66943179862562,2.312570042661598e-05,3673.7313725490194
14108.0,41.1,14.998187599999998,29.618069730000002,0.0010319010232720171,2603.2820588235295,Optimal,28,1.965,1,14.755144106153846,29.74809597213384,0.001038768901728902,2603.28205882353
15101.0,69.7,25.142020000000002,368.49668605000005,7.2924000098721655e-06,4414.811666666667,Optimal,48,3.2550000000000003,1,24.739421235384615,370.0768615666077,7.339804890502439e-06,4414.811666666667
16401.0,108.1,19.5756484,86.87874630799998,0.0005381353065475262,1371.1743137254903,Optimal,75,11.584999999999997,1,19.206714272307693,87.19640949185795,0.0005401647860822295,1371.1743137254903
17205.0,44.9,9.044246800000002,21.831253305,0.004025462914318441,1014.850049019608,Optimal,31,2.502,1,8.802290312615387,21.978252660066566,0.004071095512215385,1014.850049019608
20101.0,119.9,24.771514000000003,110.173861875,7.779801288392799e-05,2710.0338725490196,Optimal,83,6.642,1,24.129197857230768,110.91134834526923,7.867474470901185e-05,2710.0338725490196
20102.0,114.7,23.6650914,118.52496972,7.822998416545317e-05,2592.5011274509807,Optimal,80,6.246,1,23.061070528615392,119.30487922151138,7.909650916732145e-05,2592.5011274509807
20103.0,112.2,23.076193800000006,67.51477359000002,0.00012732606501099093,2535.9950000000003,Optimal,78,6.156,1,22.480876399384623,67.96238419358585,0.00012874712916553625,2535.9950000000003
20201.0,83.9,17.108879800000004,35.06681883,0.0004638102389110922,1896.345637254902,Optimal,58,4.662000000000001,1,16.65804001415385,35.302270879022984,0.0004690531974821185,1896.3456372549022
20202.0,101.9,20.875059,60.460811025,0.00016498318679875203,2303.189754901961,Optimal,71,5.562000000000001,1,20.337184506461544,60.85958477772769,0.00016681496166365286,2303.1897549019604
20203.0,86.3,17.403045400000003,89.17789787999997,0.00010401617086429529,1950.591519607843,Optimal,60,4.733999999999999,1,16.945242837538466,89.76901084512247,0.00010517684004102067,1950.591519607843
20204.0,70.2,14.134501,64.50546374999999,0.00028472706430013133,1586.6920588235296,Optimal,49,3.8160000000000003,1,13.765473839384617,64.92916871394871,0.0002878752718566411,1586.6920588235294
22301.0,61.5,12.6029552,29.1920697,0.0020063809543372237,1390.0507352941177,Optimal,43,3.33,1,12.280926781538463,29.383068131727175,0.0020284776417550613,1390.0507352941174
22302.0,68.4,14.013973600000003,36.705262860000005,0.001100780368801786,1546.0076470588237,Optimal,47,3.8520000000000008,1,13.641465051076926,36.95504093346442,0.0011133926341460926,1546.0076470588237
22403.0,70.9,14.568029999999998,34.2495921,0.001193774486318525,1602.513774509804,Optimal,49,3.942,1,14.186817980307696,34.479694731095385,0.0012072770738265589,1602.5137745098043
24303.0,147.0,30.368615400000007,120.25582695,3.423450265563184e-05,3322.5602941176467,Optimal,102,8.1,1,29.585303030769236,121.05652654629229,3.461824089110771e-05,3322.5602941176476
24304.0,99.1,20.4716674,54.012259935,0.0003126016493018887,2239.9028921568633,Optimal,69,5.417999999999999,1,19.947718459692314,54.36908347011109,0.00031607810130075106,2239.902892156863
24306.0,87.0,18.100433600000002,76.83632505,0.0005119066771732869,1966.4132352941176,Optimal,60,4.859999999999999,1,17.63044617846154,77.35498104010153,0.0005177243444966368,1966.4132352941178
24401.0,86.0,17.986657800000003,64.39309770000001,0.0009012256030009101,1943.8107843137257,Optimal,60,4.68,1,17.534077320000005,64.81652856909335,0.0009112013331238168,1943.810784313726
24403.0,111.7,22.939210600000003,84.57456535499999,9.530417696854067e-05,2524.6937745098044,Optimal,78,6.066000000000001,1,22.352596670153847,85.12955490230658,9.635692051463333e-05,2524.693774509804
24404.0,113.9,23.630279000000005,68.17888845,0.0001948004002324688,2574.419166666667,Optimal,79,6.282000000000001,1,23.022776740307698,68.63326919651384,0.00019698599386734863,2574.419166666667
24405.0,145.5,30.280182200000002,130.18289489999998,5.1932775533284676e-05,3288.656617647059,Optimal,101,8.01,1,29.505573301538465,131.0488975955877,5.25143585310575e-05,3288.6566176470587
25301.0,143.1,29.7067458,143.213471145,4.236957495200936e-05,3234.4107352941173,Optimal,100,7.757999999999999,1,28.956506619692313,144.15165900487702,4.283679456446663e-05,3234.4107352941182
25302.0,124.3,25.923450800000005,143.97861043499998,9.382656858339644e-05,2809.4846568627454,Optimal,87,6.7139999999999995,1,25.274171880615384,144.91834236256236,9.485738705425645e-05,2809.484656862745
25303.0,142.4,29.615268200000006,151.33585632,4.587253368386158e-05,3218.5890196078435,Optimal,99,7.812,1,28.859806937230772,152.33906176369808,4.6384446014023906e-05,3218.589019607843
25304.0,126.8,26.512215400000002,148.33914828000002,0.0001020684763432418,2865.9907843137257,Optimal,88,6.983999999999999,1,25.836826068307694,149.32641967610508,0.00010321208771273779,2865.990784313726
