road_id,ebike_count_orig,congestion_orig,co2_orig,safety_orig,passengers_orig,status,optimal_ebike_count,is_optimized,congestion_new,co2_new,safety_new,passengers_new
11301.0,82.8,30.0705184,187.00917648,1.0442120375086885e-05,5197.08,Optimal,57.0,1,29.51600424259671,187.76478493289179,1.051724468796508e-05,5191.010289017342
11302.0,55.8,19.677752,89.7509613,3.2860822960120786e-05,3502.38,Optimal,39.0,1,19.316673013783905,90.10135695521386,3.308922653853026e-05,3498.427630057804
11303.0,40.4,13.785196200000003,106.05986972,4.0361240641259695e-05,2535.7733333333335,Optimal,28.0,1,13.518685519697646,106.48198972062178,4.0647252251987e-05,2532.8561078998077
11402.0,55.2,18.967947400000003,139.57391392000005,1.1164915082770679e-05,3464.7200000000007,Optimal,38.0,1,18.598271295064475,140.13786073344647,1.1245239436225904e-05,3460.673526011561
11404.0,70.8,25.4838264,147.16485168,1.640046888428615e-05,4443.88,Optimal,49.0,1,25.01528342979102,147.75243824028172,1.651705943956042e-05,4438.751329479769
12101.0,53.2,18.612881600000005,95.26284954666667,2.9532088802410474e-05,3339.1866666666665,Optimal,37.0,1,18.26469829186305,95.63900855874742,2.9739706442097577e-05,3335.3754527938345
12102.0,75.7,27.5043772,106.77320730999999,2.62252138581807e-05,4751.4366666666665,Optimal,52.0,1,26.994997915873725,107.20667753951322,2.6414788984697394e-05,4745.861001926783
12103.0,79.4,28.235305600000007,210.94501572666672,4.808481916470081e-06,4983.673333333333,Optimal,55.0,1,27.710881358114722,211.7856035853834,4.8425979228206545e-06,4977.932986512525
12104.0,63.9,22.388561000000003,174.65298165000002,8.375088108035896e-06,4010.79,Optimal,44.0,1,21.96085434370832,175.3582797976514,8.43530844810416e-06,4006.108323699422
12105.0,56.6,19.481099200000006,60.73425077999999,2.4527685562410576e-05,3552.5933333333332,Optimal,39.0,1,19.102825976345045,60.97914268847914,2.4703782567615582e-05,3548.452755298651
12106.0,68.0,23.859293800000003,87.65211560000002,1.3903810372371194e-05,4268.133333333334,Optimal,47.0,1,23.407945067229882,88.00312383503069,1.4002946671195128e-05,4263.192870905588
12107.0,70.9,24.964469400000006,57.25844532333333,2.0201976442371076e-05,4450.156666666668,Optimal,49.0,1,24.493777150111164,57.487786455605814,2.0346048748726133e-05,4445.004470134876
12108.0,77.1,27.339027,139.62047995000003,7.439210900619692e-06,4839.3099999999995,Optimal,53.0,1,26.82105059715429,140.18640160409396,7.492901340939067e-06,4833.6402312138725
12109.0,69.2,24.469069600000008,145.70713248,9.781590996352447e-06,4343.453333333334,Optimal,48.0,1,24.013422307870165,146.28596790004164,9.850776539446736e-06,4338.465818882467
12110.0,86.9,30.834415000000007,170.0739887,3.962897177117906e-06,5454.423333333333,Optimal,60.0,1,30.256258766118286,170.75666515013071,3.991220062694565e-06,5448.094836223507
12111.0,72.6,25.3864206,198.59534464,4.309791732640295e-06,4556.86,Optimal,50.0,1,24.900683392352153,199.39699575874172,4.340767998964132e-06,4551.5431213872835
12112.0,85.4,30.516464200000012,137.74501622,6.662212669592938e-06,5360.2733333333335,Optimal,59.0,1,29.94905436451757,138.29717816458978,6.70976311872146e-06,5354.062466281311
12201.0,54.5,18.3635322,168.82210485000002,6.380497799734589e-06,3420.7833333333338,Optimal,38.0,1,18.008901052823482,169.4848724560845,6.425094215006698e-06,3416.9015414258192
12202.0,82.9,29.192241600000006,44.94386747666667,1.4279763562446032e-05,5203.3566666666675,Optimal,58.0,1,28.65707095971544,45.11891653488952,1.4378781005557905e-05,5197.498689788054
12203.0,94.5,33.9081432,236.39346360000005,3.061483581706869e-06,5931.45,Optimal,66.0,1,33.295598491240554,237.31793405496487,3.082799158066516e-06,5924.745086705203
12204.0,70.8,24.753789000000005,123.433723,7.652238468667209e-06,4443.88,Optimal,49.0,1,24.285246029791022,123.92655804785534,7.706638060352823e-06,4438.751329479769
12205.0,85.4,30.43049120000001,150.23236078666667,5.528494143201332e-06,5360.2733333333335,Optimal,59.0,1,29.863081364517566,150.83457925342987,5.5679528629319524e-06,5354.062466281311
12206.0,67.1,23.3250712,94.64309392999999,1.0515046348119934e-05,4211.643333333333,Optimal,46.0,1,22.87157318755002,95.02901046344844,1.0591392646118585e-05,4206.679344894027
12208.0,84.5,30.055117600000006,135.15284055,6.020854551454596e-06,5303.783333333334,Optimal,59.0,1,29.50705128163629,135.68171571041086,6.062800945691416e-06,5297.7842003853575
12209.0,59.5,20.835518800000003,175.07477540000002,1.0732573133572094e-05,3734.6166666666672,Optimal,41.0,1,20.43790205922633,175.78064237176702,1.0809620481368687e-05,3730.264354527939
12210.0,78.0,27.987937800000005,96.15547760000001,1.566175909041402e-05,4895.8,Optimal,54.0,1,27.47211067683415,96.53912758812629,1.577301932151444e-05,4890.153757225434
13301.0,71.3,26.022031200000004,525.6114766233334,7.611188143940444e-06,4475.263333333333,Optimal,49.0,1,25.542741831391734,527.7431697914677,7.666151866146192e-06,4470.017032755299
13305.0,76.5,26.712396,749.46000675,8.604216440399316e-07,4801.65,Optimal,53.0,1,26.20731527523344,752.4453853167438,8.665240074351599e-07,4796.121387283237
13401.0,72.7,25.290238800000004,711.0871235066667,9.951882523373188e-07,4563.136666666667,Optimal,50.0,1,24.802352312672298,713.9662369774748,1.0023629307336607e-06,4557.79626204239
13403.0,55.7,19.442519600000004,296.4618426466667,7.287299511417923e-06,3496.1033333333335,Optimal,38.0,1,19.062097096665187,297.6834493173441,7.340770506381166e-06,3491.9392292870907
