road_id,ebike_count_orig,congestion_orig,co2_orig,safety_orig,passengers_orig,status,optimal_ebike_count,optimal_shared_bike_count,is_optimized,congestion_new,co2_new,safety_new,passengers_new
11304.0,30.6,10.3342906,51.69639174,0.00018926473068076784,1938.2100000000003,Optimal,21,1.4400000000000002,1,10.156182390769231,51.88615621315692,0.00019050454112059224,1938.2100000000003
12211.0,46.5,16.0305898,138.9152408,2.2863498004195114e-05,2945.319117647059,Optimal,32,2.175,1,15.76157219230769,139.4220795559795,2.3012360583758628e-05,2945.3191176470586
12212.0,71.0,26.099432800000006,141.83067920000002,4.396745637876754e-05,4497.153921568628,Optimal,49,3.3,1,25.691268153846156,142.34488785895383,4.425191189840061e-05,4497.153921568628
13404.0,58.0,20.872688400000005,213.19593213333334,2.2976813923409988e-05,3673.7313725490203,Optimal,40,2.7,1,20.538735507692312,213.97008779862563,2.312570042661598e-05,3673.7313725490194
14108.0,41.1,14.998187599999998,29.67875799,0.0010319010232720171,2603.2820588235295,Optimal,28,1.965,1,14.755144106153846,29.78944077213384,0.001038768901728902,2603.28205882353
15101.0,69.7,25.142020000000002,369.25174615000003,7.2924000098721655e-06,4414.811666666667,Optimal,48,3.2550000000000003,1,24.739421235384615,370.59684556660767,7.339804890502439e-06,4414.811666666667
16401.0,108.1,19.5756484,87.38048164799999,0.0005381353065475262,1371.1743137254903,Optimal,75,6.619999999999999,1,19.105539284615382,87.88856201671588,0.0005411007114382961,1371.17431372549
17205.0,44.9,9.044246800000002,21.926881325000004,0.004025462914318441,1014.850049019608,Optimal,31,2.2239999999999998,1,8.798220820307694,22.05701675000595,0.0040705716116792275,1014.8500490196079
20101.0,119.9,24.771514000000003,110.65645937500001,7.779801288392799e-05,2710.0338725490196,Optimal,83,5.904000000000001,1,24.118394672615388,111.3093405743846,7.866468090569391e-05,2710.03387254902
20102.0,114.7,23.6650914,119.0441478,7.822998416545317e-05,2592.5011274509807,Optimal,80,5.5520000000000005,1,23.050911436307697,119.7345852131397,7.908656768649502e-05,2592.50112745098
20103.0,112.2,23.076193800000006,67.81051035000002,0.00012732606501099093,2535.9950000000003,Optimal,78,5.472,1,22.470863691692315,68.20677056562091,0.0001287308218620884,2535.995000000001
20201.0,83.9,17.108879800000004,35.22042295000001,0.0004638102389110922,1896.345637254902,Optimal,58,4.144000000000001,1,16.650457291076926,35.42886367720082,0.00046899300912541864,1896.345637254902
20202.0,101.9,20.875059,60.725649125,0.00016498318679875203,2303.189754901961,Optimal,71,4.944000000000001,1,20.32813793723077,61.07867510779384,0.0001667939445686051,2303.1897549019604
20203.0,86.3,17.403045400000003,89.56852619999998,0.00010401617086429529,1950.591519607843,Optimal,60,4.207999999999999,1,16.937543006769232,90.09182602609722,0.00010516352096036379,1950.591519607843
20204.0,70.2,14.134501,64.78801874999999,0.00028472706430013133,1586.6920588235296,Optimal,49,3.3920000000000003,1,13.759267131692308,65.16311580764103,0.00028783915497011017,1586.6920588235294
22301.0,61.5,12.6029552,29.3199405,0.0020063809543372237,1390.0507352941177,Optimal,43,2.96,1,12.275510550769232,29.489027378490253,0.0020282241737722825,1390.0507352941177
22302.0,68.4,14.013973600000003,36.86604390000001,0.001100780368801786,1546.0076470588237,Optimal,47,3.4240000000000013,1,13.635199789538465,37.087167154130874,0.0011132477874316123,1546.0076470588237
22403.0,70.9,14.568029999999998,34.3996165,0.001193774486318525,1602.513774509804,Optimal,49,3.504000000000001,1,14.180406334153849,34.6033215004677,0.001207122063369562,1602.513774509804
24303.0,147.0,30.368615400000007,120.78258675000001,3.423450265563184e-05,3322.5602941176467,Optimal,102,7.200000000000001,1,29.572128415384622,121.49142919504617,3.461383676237955e-05,3322.5602941176476
24304.0,99.1,20.4716674,54.24885127500001,0.0003126016493018887,2239.9028921568633,Optimal,69,4.816,1,19.93890610584616,54.56473961595754,0.00031603821183964255,2239.902892156863
24306.0,87.0,18.100433600000002,77.17289325,0.0005119066771732869,1966.4132352941176,Optimal,60,4.32,1,17.62254140923077,77.63204844611076,0.0005176575476734797,1966.4132352941178
24401.0,86.0,17.986657800000003,64.6751605,0.0009012256030009101,1943.8107843137257,Optimal,60,4.16,1,17.526465320000003,65.05001490725334,0.0009110868857339525,1943.810784313726
24403.0,111.7,22.939210600000003,84.94502957499999,9.530417696854067e-05,2524.6937745098044,Optimal,78,5.392000000000001,1,22.342730347076923,85.43635010208594,9.634484357491681e-05,2524.693774509804
24404.0,113.9,23.630279000000005,68.47753424999999,0.0001948004002324688,2574.419166666667,Optimal,79,5.5840000000000005,1,23.012559094153854,68.87978793019693,0.00019696090929517066,2574.419166666667
24405.0,145.5,30.280182200000002,130.75313849999998,5.1932775533284676e-05,3288.656617647059,Optimal,101,7.12,1,29.492545070769232,131.51979239991383,5.250768394191415e-05,3288.6566176470583
25301.0,143.1,29.7067458,143.840792925,4.236957495200936e-05,3234.4107352941173,Optimal,100,6.895999999999999,1,28.94388826584616,144.6713508265992,4.2831434953579125e-05,3234.410735294118
25302.0,124.3,25.923450800000005,144.609283775,9.382656858339644e-05,2809.4846568627454,Optimal,87,5.967999999999999,1,25.263251588307696,145.4412086071165,9.484556353849041e-05,2809.484656862745
25303.0,142.4,29.615268200000006,151.99875680000002,4.587253368386158e-05,3218.5890196078435,Optimal,99,6.944000000000001,1,28.847100752615386,152.88687339564638,4.637857162852495e-05,3218.589019607843
25304.0,126.8,26.512215400000002,148.98892220000002,0.0001020684763432418,2865.9907843137257,Optimal,88,6.207999999999999,1,25.825466622153847,149.86293271977522,0.0001031989627572081,2865.9907843137253
